HEADINGS
 NPRINT= 1002  Z from  220.0000     to  880.0000    
 PRINTED AT X1=  1.000000    , Y1=     1.000000    , and x2=y2=     1.000000    

SOLID

MARKERSIZE 0.06
ylabel
gauss

ABSCISSA 1
ORDINATE 2 3 4 5 6 7 8 9 10


TITLES
Z(cm)
B(0,0)
Bz(0,0)
By(0,y1)
Bx(0,y1)
By(x1,0)
Bx(x1,0)
Bx(x2,y2)
Bz(x2,y2)
By(x2,y2)
ENDTITLES

AXIS_LABELS
Z(cm)
B(0,0)
Bz(0,0)
By(0,y1)
Bx(0,y1)
By(x1,0)
Bx(x1,0)
Bx(x2,y2)
Bz(x2,y2)
By(x2,y2)
ENDLABELS

CURVE_LABELS
Z(cm)
B(0,0)
Bz(0,0)
By(0,y1)
Bx(0,y1)
By(x1,0)
Bx(x1,0)
Bx(x2,y2)
Bz(x2,y2)
By(x2,y2)
ENDLABELS


DATA
; Z(cm)          B(V/cm)        Bz(0,0)        By(0,Y1)       Bx(0,y1)      By(x1,0)        Bx(x1,0)       Bx(x2,y2)         Bz(x2,y2)     By(x2,y2)
  220.0000       40.48745       40.48745      -1.135105       0.000000       0.000000      -1.135105      -1.134057       40.39837      -1.134057    
  220.6600       42.02684       42.02684      -1.195769       0.000000       0.000000      -1.195769      -1.194649       41.93204      -1.194649    
  221.3200       43.64896       43.64896      -1.260341       0.000000       0.000000      -1.260341      -1.259143       43.54804      -1.259143    
  221.9800       45.35915       45.35915      -1.329086       0.000000       0.000000      -1.329086      -1.327807       45.25168      -1.327807    
  222.6400       47.16309       47.16309      -1.402291       0.000000       0.000000      -1.402291      -1.400925       47.04865      -1.400925    
  223.3000       49.06689       49.06689      -1.480253       0.000000       0.000000      -1.480253      -1.478798       48.94501      -1.478798    
  223.9600       51.07704       51.07704      -1.563290       0.000000       0.000000      -1.563290      -1.561739       50.94722      -1.561739    
  224.6200       53.20045       53.20045      -1.651732       0.000000       0.000000      -1.651732      -1.650082       53.06219      -1.650082    
  225.2800       55.44450       55.44450      -1.745924       0.000000       0.000000      -1.745924      -1.744172       55.29726      -1.744172    
  225.9400       57.81701       57.81701      -1.846225       0.000000       0.000000      -1.846225      -1.844367       57.66024      -1.844367    
  226.6000       60.32629       60.32629      -1.953003       0.000000       0.000000      -1.953003      -1.951037       60.15942      -1.951037    
  227.2600       62.98114       62.98114      -2.066633       0.000000       0.000000      -2.066633      -2.064559       62.80360      -2.064559    
